Date,Start (ET),Visitor,Visitor_Pts,Home,Home_Pts,Attend,Home_Win_Margin,Home_Win
"Sat, Dec 9, 2017",8:00p,Philadelphia 76ers,98,Cleveland Cavaliers,105,"20,562",7,1
"Sat, Dec 9, 2017",8:30p,Utah Jazz,100,Milwaukee Bucks,117,"16,675",17,1
"Sat, Dec 9, 2017",9:00p,Oklahoma City Thunder,102,Memphis Grizzlies,101,"17,794",-1,0
"Sat, Dec 9, 2017",9:00p,San Antonio Spurs,104,Phoenix Suns,101,"16,575",-3,0
"Sat, Dec 9, 2017",10:00p,Houston Rockets,124,Portland Trail Blazers,117,"19,503",-7,0
"Sun, Dec 10, 2017",3:30p,Toronto Raptors,102,Sacramento Kings,87,"17,583",-15,0
"Sun, Dec 10, 2017",4:00p,Boston Celtics,91,Detroit Pistons,81,"18,776",-10,0
"Sun, Dec 10, 2017",5:00p,Denver Nuggets,116,Indiana Pacers,126,"14,587",10,1
"Sun, Dec 10, 2017",7:00p,Dallas Mavericks,92,Minnesota Timberwolves,97,"13,094",5,1
"Sun, Dec 10, 2017",7:00p,Philadelphia 76ers,124,New Orleans Pelicans,131,"16,878",7,1
"Sun, Dec 10, 2017",7:30p,Atlanta Hawks,107,New York Knicks,111,"19,189",4,1
"Mon, Dec 11, 2017",8:00p,Boston Celtics,85,Chicago Bulls,108,"19,617",23,1
"Mon, Dec 11, 2017",8:00p,New Orleans Pelicans,123,Houston Rockets,130,"18,055",7,1
"Mon, Dec 11, 2017",8:00p,Miami Heat,107,Memphis Grizzlies,82,"14,857",-25,0
"Mon, Dec 11, 2017",8:00p,Charlotte Hornets,116,Oklahoma City Thunder,103,"18,203",-13,0
"Mon, Dec 11, 2017",10:30p,Portland Trail Blazers,104,Golden State Warriors,111,"19,596",7,1
"Mon, Dec 11, 2017",10:30p,Toronto Raptors,91,Los Angeles Clippers,96,"16,658",5,1
"Tue, Dec 12, 2017",7:00p,Atlanta Hawks,114,Cleveland Cavaliers,123,"20,562",9,1
"Tue, Dec 12, 2017",7:00p,Denver Nuggets,103,Detroit Pistons,84,"15,480",-19,0
"Tue, Dec 12, 2017",7:00p,Los Angeles Lakers,109,New York Knicks,113,"19,359",4,1
"Tue, Dec 12, 2017",7:30p,Washington Wizards,98,Brooklyn Nets,103,"14,515",5,1
"Tue, Dec 12, 2017",8:30p,San Antonio Spurs,89,Dallas Mavericks,95,"19,874",6,1
"Tue, Dec 12, 2017",9:30p,Philadelphia 76ers,118,Minnesota Timberwolves,112,"14,659",-6,0
"Tue, Dec 12, 2017",10:00p,Phoenix Suns,92,Sacramento Kings,99,"17,583",7,1
"Wed, Dec 13, 2017",7:00p,Oklahoma City Thunder,100,Indiana Pacers,95,"17,923",-5,0
"Wed, Dec 13, 2017",7:00p,Los Angeles Clippers,106,Orlando Magic,95,"16,011",-11,0
"Wed, Dec 13, 2017",7:00p,Memphis Grizzlies,87,Washington Wizards,93,"15,297",6,1
"Wed, Dec 13, 2017",7:30p,Denver Nuggets,118,Boston Celtics,124,"18,624",6,1
"Wed, Dec 13, 2017",7:30p,Portland Trail Blazers,102,Miami Heat,95,"19,600",-7,0
"Wed, Dec 13, 2017",8:00p,Utah Jazz,100,Chicago Bulls,103,"18,102",3,1
"Wed, Dec 13, 2017",8:00p,Milwaukee Bucks,108,New Orleans Pelicans,115,"16,863",7,1
"Wed, Dec 13, 2017",9:00p,Toronto Raptors,115,Phoenix Suns,109,"15,517",-6,0
"Wed, Dec 13, 2017",9:30p,Charlotte Hornets,96,Houston Rockets,108,"16,509",12,1
"Thu, Dec 14, 2017",7:30p,Detroit Pistons,105,Atlanta Hawks,91,"13,548",-14,0
"Thu, Dec 14, 2017",7:30p,New York Knicks,111,Brooklyn Nets,104,"17,732",-7,0
"Thu, Dec 14, 2017",8:00p,Los Angeles Lakers,112,Cleveland Cavaliers,121,"20,562",9,1
"Thu, Dec 14, 2017",8:00p,Sacramento Kings,96,Minnesota Timberwolves,119,"11,126",23,1
"Thu, Dec 14, 2017",10:30p,Dallas Mavericks,97,Golden State Warriors,112,"19,596",15,1
"Fri, Dec 15, 2017",7:00p,Miami Heat,104,Charlotte Hornets,98,"15,565",-6,0
"Fri, Dec 15, 2017",7:00p,Detroit Pistons,104,Indiana Pacers,98,"14,687",-6,0
"Fri, Dec 15, 2017",7:00p,Portland Trail Blazers,95,Orlando Magic,88,"16,963",-7,0
"Fri, Dec 15, 2017",7:00p,Oklahoma City Thunder,119,Philadelphia 76ers,117,"20,612",-2,0
"Fri, Dec 15, 2017",7:00p,Los Angeles Clippers,91,Washington Wizards,100,"15,442",9,1
"Fri, Dec 15, 2017",7:30p,Utah Jazz,107,Boston Celtics,95,"18,624",-12,0
"Fri, Dec 15, 2017",7:30p,Brooklyn Nets,87,Toronto Raptors,120,"19,800",33,1
"Fri, Dec 15, 2017",8:00p,Atlanta Hawks,94,Memphis Grizzlies,96,"15,803",2,1
"Fri, Dec 15, 2017",8:00p,Chicago Bulls,115,Milwaukee Bucks,109,"16,921",-6,0
"Fri, Dec 15, 2017",9:00p,New Orleans Pelicans,111,Denver Nuggets,117,"17,584",6,1
"Fri, Dec 15, 2017",9:30p,San Antonio Spurs,109,Houston Rockets,124,"18,055",15,1
"Sat, Dec 16, 2017",7:00p,Portland Trail Blazers,93,Charlotte Hornets,91,"16,687",-2,0
"Sat, Dec 16, 2017",7:30p,Utah Jazz,100,Cleveland Cavaliers,109,"20,562",9,1
"Sat, Dec 16, 2017",7:30p,Oklahoma City Thunder,96,New York Knicks,111,"19,812",15,1
"Sat, Dec 16, 2017",8:00p,Milwaukee Bucks,111,Houston Rockets,115,"18,055",4,1
"Sat, Dec 16, 2017",8:00p,Los Angeles Clippers,85,Miami Heat,90,"19,600",5,1
"Sat, Dec 16, 2017",8:00p,Phoenix Suns,108,Minnesota Timberwolves,106,"18,109",-2,0
"Sat, Dec 16, 2017",8:30p,Dallas Mavericks,96,San Antonio Spurs,98,"18,418",2,1
"Sat, Dec 16, 2017",9:00p,Boston Celtics,102,Memphis Grizzlies,93,"17,794",-9,0
"Sun, Dec 17, 2017",3:30p,Sacramento Kings,93,Toronto Raptors,108,"19,800",15,1
"Sun, Dec 17, 2017",4:00p,Orlando Magic,110,Detroit Pistons,114,"16,312",4,1
"Sun, Dec 17, 2017",6:00p,Indiana Pacers,109,Brooklyn Nets,97,"13,934",-12,0
"Sun, Dec 17, 2017",6:00p,Cleveland Cavaliers,106,Washington Wizards,99,"20,356",-7,0
"Mon, Dec 18, 2017",7:00p,New York Knicks,91,Charlotte Hornets,109,"15,386",18,1
"Mon, Dec 18, 2017",7:00p,Boston Celtics,112,Indiana Pacers,111,"16,055",-1,0
"Mon, Dec 18, 2017",7:30p,Miami Heat,104,Atlanta Hawks,110,"14,227",6,1
"Mon, Dec 18, 2017",8:00p,Philadelphia 76ers,115,Chicago Bulls,117,"20,796",2,1
"Mon, Dec 18, 2017",8:00p,Utah Jazz,99,Houston Rockets,120,"18,055",21,1
"Mon, Dec 18, 2017",8:00p,Portland Trail Blazers,107,Minnesota Timberwolves,108,"14,187",1,1
"Mon, Dec 18, 2017",8:00p,Denver Nuggets,94,Oklahoma City Thunder,95,"18,203",1,1
"Mon, Dec 18, 2017",8:30p,Phoenix Suns,97,Dallas Mavericks,91,"19,245",-6,0
"Mon, Dec 18, 2017",8:30p,Los Angeles Clippers,91,San Antonio Spurs,109,"18,418",18,1
"Mon, Dec 18, 2017",10:30p,Golden State Warriors,116,Los Angeles Lakers,114,"18,997",-2,0
"Tue, Dec 19, 2017",7:00p,Sacramento Kings,101,Philadelphia 76ers,95,"20,558",-6,0
"Tue, Dec 19, 2017",7:00p,New Orleans Pelicans,106,Washington Wizards,116,"16,529",10,1
"Tue, Dec 19, 2017",8:00p,Cleveland Cavaliers,116,Milwaukee Bucks,119,"18,717",3,1
"Wed, Dec 20, 2017",7:00p,Toronto Raptors,129,Charlotte Hornets,111,"15,023",-18,0
"Wed, Dec 20, 2017",7:30p,Indiana Pacers,105,Atlanta Hawks,95,"14,830",-10,0
"Wed, Dec 20, 2017",7:30p,Miami Heat,90,Boston Celtics,89,"18,624",-1,0
"Wed, Dec 20, 2017",7:30p,Sacramento Kings,104,Brooklyn Nets,99,"13,179",-5,0
"Wed, Dec 20, 2017",8:00p,Orlando Magic,94,Chicago Bulls,112,"20,285",18,1
"Wed, Dec 20, 2017",8:00p,Los Angeles Lakers,122,Houston Rockets,116,"18,055",-6,0
"Wed, Dec 20, 2017",8:00p,Utah Jazz,79,Oklahoma City Thunder,107,"18,203",28,1
"Wed, Dec 20, 2017",8:30p,Detroit Pistons,93,Dallas Mavericks,110,"19,580",17,1
"Wed, Dec 20, 2017",9:00p,Minnesota Timberwolves,112,Denver Nuggets,104,"17,002",-8,0
"Wed, Dec 20, 2017",10:00p,San Antonio Spurs,93,Portland Trail Blazers,91,"19,393",-2,0
"Wed, Dec 20, 2017",10:30p,Memphis Grizzlies,84,Golden State Warriors,97,"19,596",13,1
"Wed, Dec 20, 2017",10:30p,Phoenix Suns,95,Los Angeles Clippers,108,"17,151",13,1
"Thu, Dec 21, 2017",7:00p,Chicago Bulls,112,Cleveland Cavaliers,115,"20,562",3,1
"Thu, Dec 21, 2017",7:00p,Toronto Raptors,114,Philadelphia 76ers,109,"20,680",-5,0
"Thu, Dec 21, 2017",8:00p,Boston Celtics,93,New York Knicks,102,"19,812",9,1
"Thu, Dec 21, 2017",9:00p,Memphis Grizzlies,95,Phoenix Suns,97,"16,339",2,1
"Thu, Dec 21, 2017",10:30p,San Antonio Spurs,89,Utah Jazz,100,"18,306",11,1
"Fri, Dec 22, 2017",7:00p,New York Knicks,101,Detroit Pistons,104,"16,922",3,1
"Fri, Dec 22, 2017",7:00p,New Orleans Pelicans,111,Orlando Magic,97,"18,846",-14,0
"Fri, Dec 22, 2017",7:30p,Washington Wizards,84,Brooklyn Nets,119,"15,589",35,1
"Fri, Dec 22, 2017",8:00p,Los Angeles Clippers,128,Houston Rockets,118,"18,055",-10,0
"Fri, Dec 22, 2017",8:00p,Dallas Mavericks,101,Miami Heat,113,"19,600",12,1
"Fri, Dec 22, 2017",8:00p,Charlotte Hornets,104,Milwaukee Bucks,109,"17,018",5,1
"Fri, Dec 22, 2017",8:00p,Atlanta Hawks,117,Oklahoma City Thunder,120,"18,203",3,1
"Fri, Dec 22, 2017",10:00p,Denver Nuggets,102,Portland Trail Blazers,85,"19,473",-17,0
"Fri, Dec 22, 2017",10:30p,Los Angeles Lakers,106,Golden State Warriors,113,"19,596",7,1
"Sat, Dec 23, 2017",5:00p,Philadelphia 76ers,86,Toronto Raptors,102,"19,800",16,1
"Sat, Dec 23, 2017",7:00p,Milwaukee Bucks,106,Charlotte Hornets,111,"18,363",5,1
"Sat, Dec 23, 2017",7:00p,Brooklyn Nets,119,Indiana Pacers,123,"17,107",4,1
"Sat, Dec 23, 2017",7:00p,Orlando Magic,103,Washington Wizards,130,"17,218",27,1
"Sat, Dec 23, 2017",7:30p,Dallas Mavericks,107,Atlanta Hawks,112,"13,402",5,1
"Sat, Dec 23, 2017",7:30p,Chicago Bulls,92,Boston Celtics,117,"18,624",25,1
"Sat, Dec 23, 2017",8:00p,Los Angeles Clippers,112,Memphis Grizzlies,115,"16,844",3,1
"Sat, Dec 23, 2017",8:00p,New Orleans Pelicans,109,Miami Heat,94,"19,600",-15,0
"Sat, Dec 23, 2017",8:00p,Oklahoma City Thunder,103,Utah Jazz,89,"18,306",-14,0
"Sat, Dec 23, 2017",8:30p,Denver Nuggets,96,Golden State Warriors,81,"19,596",-15,0
"Sat, Dec 23, 2017",9:00p,Minnesota Timberwolves,115,Phoenix Suns,106,"16,482",-9,0
"Sat, Dec 23, 2017",9:30p,Portland Trail Blazers,95,Los Angeles Lakers,92,"18,997",-3,0
"Sat, Dec 23, 2017",10:00p,San Antonio Spurs,108,Sacramento Kings,99,"17,583",-9,0
"Mon, Dec 25, 2017",12:00p,Philadelphia 76ers,105,New York Knicks,98,"19,812",-7,0
"Mon, Dec 25, 2017",3:00p,Cleveland Cavaliers,92,Golden State Warriors,99,"19,596",7,1
"Mon, Dec 25, 2017",5:30p,Washington Wizards,111,Boston Celtics,103,"18,624",-8,0
"Mon, Dec 25, 2017",8:00p,Houston Rockets,107,Oklahoma City Thunder,112,"18,203",5,1
"Mon, Dec 25, 2017",10:30p,Minnesota Timberwolves,121,Los Angeles Lakers,104,"18,997",-17,0
"Tue, Dec 26, 2017",7:00p,Toronto Raptors,93,Dallas Mavericks,98,"20,005",5,1
"Tue, Dec 26, 2017",7:00p,Indiana Pacers,83,Detroit Pistons,107,"20,491",24,1
"Tue, Dec 26, 2017",7:30p,Orlando Magic,89,Miami Heat,107,"19,600",18,1
"Tue, Dec 26, 2017",8:00p,Chicago Bulls,115,Milwaukee Bucks,106,"18,717",-9,0
"Tue, Dec 26, 2017",8:30p,Brooklyn Nets,97,San Antonio Spurs,109,"18,492",12,1
"Tue, Dec 26, 2017",9:00p,Utah Jazz,83,Denver Nuggets,107,"17,104",24,1
"Tue, Dec 26, 2017",9:00p,Memphis Grizzlies,97,Phoenix Suns,99,"17,105",2,1
"Tue, Dec 26, 2017",10:30p,Sacramento Kings,95,Los Angeles Clippers,122,"16,393",27,1
"Wed, Dec 27, 2017",7:00p,Boston Celtics,102,Charlotte Hornets,91,"19,611",-11,0
"Wed, Dec 27, 2017",7:00p,Dallas Mavericks,98,Indiana Pacers,94,"17,923",-4,0
"Wed, Dec 27, 2017",7:30p,Washington Wizards,99,Atlanta Hawks,113,"15,763",14,1
"Wed, Dec 27, 2017",8:00p,New York Knicks,87,Chicago Bulls,92,"21,883",5,1
"Wed, Dec 27, 2017",8:00p,Denver Nuggets,125,Minnesota Timberwolves,128,"18,978",3,1
"Wed, Dec 27, 2017",8:00p,Brooklyn Nets,113,New Orleans Pelicans,128,"16,707",15,1
"Wed, Dec 27, 2017",8:00p,Toronto Raptors,107,Oklahoma City Thunder,124,"18,203",17,1
"Wed, Dec 27, 2017",10:00p,Cleveland Cavaliers,95,Sacramento Kings,109,"17,583",14,1
"Wed, Dec 27, 2017",10:30p,Utah Jazz,101,Golden State Warriors,126,"19,596",25,1
"Wed, Dec 27, 2017",10:30p,Memphis Grizzlies,109,Los Angeles Lakers,99,"18,997",-10,0
"Thu, Dec 28, 2017",7:00p,Detroit Pistons,89,Orlando Magic,102,"18,846",13,1
"Thu, Dec 28, 2017",8:00p,Houston Rockets,98,Boston Celtics,99,"18,624",1,1
"Thu, Dec 28, 2017",8:00p,Minnesota Timberwolves,96,Milwaukee Bucks,102,"18,717",6,1
"Thu, Dec 28, 2017",8:30p,New York Knicks,107,San Antonio Spurs,119,"18,935",12,1
"Thu, Dec 28, 2017",10:30p,Philadelphia 76ers,110,Portland Trail Blazers,114,"20,104",4,1
"Fri, Dec 29, 2017",7:00p,Houston Rockets,103,Washington Wizards,121,"20,356",18,1
"Fri, Dec 29, 2017",7:30p,Atlanta Hawks,98,Toronto Raptors,111,"19,800",13,1
"Fri, Dec 29, 2017",8:00p,Indiana Pacers,107,Chicago Bulls,119,"21,178",12,1
"Fri, Dec 29, 2017",8:00p,Brooklyn Nets,111,Miami Heat,87,"19,600",-24,0
"Fri, Dec 29, 2017",8:00p,Dallas Mavericks,128,New Orleans Pelicans,120,"16,878",-8,0
"Fri, Dec 29, 2017",8:00p,Milwaukee Bucks,97,Oklahoma City Thunder,95,"18,203",-2,0
"Fri, Dec 29, 2017",10:00p,Phoenix Suns,111,Sacramento Kings,101,"17,583",-10,0
"Fri, Dec 29, 2017",10:30p,Charlotte Hornets,111,Golden State Warriors,100,"19,596",-11,0
"Fri, Dec 29, 2017",10:30p,Los Angeles Clippers,121,Los Angeles Lakers,106,"18,997",-15,0
"Sat, Dec 30, 2017",7:00p,San Antonio Spurs,79,Detroit Pistons,93,"19,671",14,1
"Sat, Dec 30, 2017",7:00p,New York Knicks,105,New Orleans Pelicans,103,"16,947",-2,0
"Sat, Dec 30, 2017",7:00p,Miami Heat,117,Orlando Magic,111,"18,846",-6,0
"Sat, Dec 30, 2017",7:30p,Portland Trail Blazers,89,Atlanta Hawks,104,"15,877",15,1
"Sat, Dec 30, 2017",8:00p,Cleveland Cavaliers,101,Utah Jazz,104,"18,306",3,1
"Sat, Dec 30, 2017",8:30p,Memphis Grizzlies,128,Golden State Warriors,141,"19,596",13,1
"Sat, Dec 30, 2017",9:00p,Philadelphia 76ers,107,Denver Nuggets,102,"19,599",-5,0
"Sun, Dec 31, 2017",3:30p,Chicago Bulls,110,Washington Wizards,114,"20,356",4,1
"Sun, Dec 31, 2017",5:00p,Minnesota Timberwolves,107,Indiana Pacers,90,"17,923",-17,0
"Sun, Dec 31, 2017",5:30p,Brooklyn Nets,105,Boston Celtics,108,"18,624",3,1
"Sun, Dec 31, 2017",7:00p,Los Angeles Lakers,142,Houston Rockets,148,"18,179",6,1
"Sun, Dec 31, 2017",7:00p,Charlotte Hornets,98,Los Angeles Clippers,106,"17,348",8,1
"Sun, Dec 31, 2017",7:00p,Dallas Mavericks,116,Oklahoma City Thunder,113,"18,203",-3,0
"Sun, Dec 31, 2017",7:00p,Memphis Grizzlies,114,Sacramento Kings,96,"17,583",-18,0
"Sun, Dec 31, 2017",8:00p,Philadelphia 76ers,123,Phoenix Suns,110,"16,983",-13,0
"Mon, Jan 1, 2018",7:30p,Orlando Magic,95,Brooklyn Nets,98,"16,164",3,1
"Mon, Jan 1, 2018",7:30p,Milwaukee Bucks,127,Toronto Raptors,131,"19,800",4,1
"Mon, Jan 1, 2018",8:00p,Portland Trail Blazers,124,Chicago Bulls,120,"20,860",-4,0
"Mon, Jan 1, 2018",8:00p,Los Angeles Lakers,96,Minnesota Timberwolves,114,"18,978",18,1
"Tue, Jan 2, 2018",7:00p,Portland Trail Blazers,110,Cleveland Cavaliers,127,"20,562",17,1
"Tue, Jan 2, 2018",7:30p,San Antonio Spurs,100,New York Knicks,91,"19,812",-9,0
"Tue, Jan 2, 2018",9:00p,Atlanta Hawks,103,Phoenix Suns,104,"15,921",1,1
"Tue, Jan 2, 2018",10:00p,Charlotte Hornets,131,Sacramento Kings,111,"17,583",-20,0
"Tue, Jan 2, 2018",10:30p,Memphis Grizzlies,105,Los Angeles Clippers,113,"15,711",8,1
"Wed, Jan 3, 2018",7:00p,Houston Rockets,116,Orlando Magic,98,"18,588",-18,0
"Wed, Jan 3, 2018",7:00p,San Antonio Spurs,106,Philadelphia 76ers,112,"20,642",6,1
"Wed, Jan 3, 2018",7:00p,New York Knicks,103,Washington Wizards,121,"17,206",18,1
"Wed, Jan 3, 2018",7:30p,Minnesota Timberwolves,97,Brooklyn Nets,98,"16,215",1,1
"Wed, Jan 3, 2018",7:30p,Detroit Pistons,104,Miami Heat,111,"19,600",7,1
"Wed, Jan 3, 2018",8:00p,Cleveland Cavaliers,88,Boston Celtics,102,"18,624",14,1
"Wed, Jan 3, 2018",8:00p,Toronto Raptors,124,Chicago Bulls,115,"20,056",-9,0
"Wed, Jan 3, 2018",8:00p,Indiana Pacers,101,Milwaukee Bucks,122,"15,613",21,1
"Wed, Jan 3, 2018",8:30p,Golden State Warriors,125,Dallas Mavericks,122,"20,212",-3,0
"Wed, Jan 3, 2018",9:00p,Phoenix Suns,111,Denver Nuggets,134,"14,079",23,1
"Wed, Jan 3, 2018",9:00p,New Orleans Pelicans,108,Utah Jazz,98,"18,306",-10,0
"Wed, Jan 3, 2018",10:30p,Oklahoma City Thunder,133,Los Angeles Lakers,96,"18,997",-37,0
"Thu, Jan 4, 2018",8:00p,Golden State Warriors,124,Houston Rockets,114,"18,055",-10,0
"Thu, Jan 4, 2018",10:30p,Oklahoma City Thunder,127,Los Angeles Clippers,117,"19,068",-10,0
"Fri, Jan 5, 2018",7:00p,Minnesota Timberwolves,84,Boston Celtics,91,"18,624",7,1
"Fri, Jan 5, 2018",7:00p,Detroit Pistons,78,Philadelphia 76ers,114,"20,592",36,1
